Season,Week,Team,Day,Date,Win,OT,Home,Opp,Off_Pts,Def_Pts,G,Spread,Total,Point_Diff,Spread_Covered,Actual_vs_Expected
2014,13,CLE,Sun,November 30,0,0,0,BUF,10,26,12,3.0,42.0,-16,0,-6.0
2014,14,CLE,Sun,December 7,0,0,1,CLT,24,25,13,3.0,50.0,-1,1,-1.0
2014,15,CLE,Sun,December 14,0,0,1,CIN,0,30,14,-1.0,44.0,-30,0,-14.0
2014,16,CLE,Sun,December 21,0,0,0,CAR,13,17,15,6.0,40.0,-4,1,-10.0
2014,17,CLE,Sun,December 28,0,0,0,RAV,10,20,16,13.5,39.5,-10,1,-9.5
2014,1,DAL,Sun,September 7,0,0,1,SFO,17,28,1,4.5,51.0,-11,0,-6.0
2014,2,DAL,Sun,September 14,1,0,0,OTI,26,10,2,3.5,49.5,16,1,-13.5
2014,3,DAL,Sun,September 21,1,0,0,RAM,34,31,3,-1.5,44.0,3,1,21.0
2014,4,DAL,Sun,September 28,1,0,1,NOR,38,17,4,3.0,53.5,21,1,1.5
2014,5,DAL,Sun,October 5,1,1,1,HTX,20,17,5,-6.5,47.0,3,0,-10.0
2014,6,DAL,Sun,October 12,1,0,0,SEA,30,23,6,9.5,47.0,7,1,6.0
2014,7,DAL,Sun,October 19,1,0,1,NYG,31,21,7,-5.5,47.0,10,1,5.0
2014,8,DAL,Mon,October 27,0,1,1,WAS,17,20,8,-9.5,49.0,-3,0,-12.0
2014,9,DAL,Sun,November 2,0,0,1,CRD,17,28,9,-1.5,45.0,-11,0,0.0
2014,10,DAL,Sun,November 9,1,0,0,JAX,31,17,10,-7.5,45.0,14,1,3.0
2014,12,DAL,Sun,November 23,1,0,0,NYG,31,28,11,-5.0,49.0,3,0,10.0
2014,13,DAL,Thu,November 27,0,0,1,PHI,10,33,12,-3.5,57.0,-23,0,-14.0
2014,14,DAL,Thu,December 4,1,0,0,CHI,41,28,13,-4.0,50.5,13,1,18.5
2014,15,DAL,Sun,December 14,1,0,0,PHI,38,27,14,3.0,55.0,11,1,10.0
2014,16,DAL,Sun,December 21,1,0,1,CLT,42,7,15,-3.0,54.0,35,1,-5.0
2014,17,DAL,Sun,December 28,1,0,0,WAS,44,17,16,-6.0,47.5,27,1,13.5
2014,1,DEN,Sun,September 7,1,0,1,CLT,31,24,1,-7.5,55.0,7,0,0.0
2014,2,DEN,Sun,September 14,1,0,1,KAN,24,17,2,-11.5,50.5,7,0,-9.5
2014,3,DEN,Sun,September 21,0,1,0,SEA,20,26,3,4.5,48.5,-6,0,-2.5
2014,5,DEN,Sun,October 5,1,0,1,CRD,41,20,4,-7.5,48.0,21,1,13.0
2014,6,DEN,Sun,October 12,1,0,0,NYJ,31,17,5,-9.5,47.5,14,1,0.5
2014,7,DEN,Sun,October 19,1,0,1,SFO,42,17,6,-6.5,48.5,25,1,10.5
2014,8,DEN,Thu,October 23,1,0,1,SDG,35,21,7,-9.0,51.0,14,1,5.0
2014,9,DEN,Sun,November 2,0,0,0,NWE,21,43,8,-3.0,52.5,-22,0,11.5
2014,10,DEN,Sun,November 9,1,0,0,RAI,41,17,9,-12.5,51.0,24,1,7.0
2014,11,DEN,Sun,November 16,0,0,0,RAM,7,22,10,-9.5,51.0,-15,0,-22.0
2014,12,DEN,Sun,November 23,1,0,1,MIA,39,36,11,-7.0,47.5,3,0,27.5
2014,13,DEN,Sun,November 30,1,0,0,KAN,29,16,12,0.0,49.5,13,1,-4.5
2014,14,DEN,Sun,December 7,1,0,1,BUF,24,17,13,-9.5,47.5,7,0,-6.5
2014,15,DEN,Sun,December 14,1,0,0,SDG,22,10,14,-4.5,50.5,12,1,-18.5
2014,16,DEN,Mon,December 22,0,0,0,CIN,28,37,15,-3.5,47.0,-9,0,18.0
2014,17,DEN,Sun,December 28,1,0,1,RAI,47,14,16,-14.0,48.0,33,1,13.0
2014,1,DET,Mon,September 8,1,0,1,NYG,35,14,1,-5.5,47.0,21,1,2.0
2014,2,DET,Sun,September 14,0,0,0,CAR,7,24,2,2.5,44.0,-17,0,-13.0
2014,3,DET,Sun,September 21,1,0,1,GNB,19,7,3,-2.5,52.5,12,1,-26.5
2014,4,DET,Sun,September 28,1,0,0,NYJ,24,17,4,-1.5,45.0,7,1,-4.0
2014,5,DET,Sun,October 5,0,0,1,BUF,14,17,5,-6.5,43.0,-3,0,-12.0
2014,6,DET,Sun,October 12,1,0,0,MIN,17,3,6,1.5,43.0,14,1,-23.0
2014,7,DET,Sun,October 19,1,0,1,NOR,24,23,7,-1.5,46.5,1,0,0.5
2014,8,DET,Sun,October 26,1,0,0,ATL,22,21,8,-3.5,45.5,1,0,-2.5
2014,10,DET,Sun,November 9,1,0,1,MIA,20,16,9,-3.0,43.0,4,1,-7.0
2014,11,DET,Sun,November 16,0,0,0,CRD,6,14,10,1.0,41.0,-8,0,-21.0
2014,12,DET,Sun,November 23,0,0,0,NWE,9,34,11,7.0,47.5,-25,0,-4.5
2014,13,DET,Thu,November 27,1,0,1,CHI,34,17,12,-7.0,46.5,17,1,4.5
2014,14,DET,Sun,December 7,1,0,1,TAM,34,17,13,-10.5,42.0,17,1,9.0
2014,15,DET,Sun,December 14,1,0,1,MIN,16,14,14,-7.5,41.5,2,0,-11.5
2014,16,DET,Sun,December 21,1,0,0,CHI,20,14,15,-10.0,44.5,6,0,-10.5
